show_dragon_stats;Show dragon stats;;;;;;;;;;;x
show_dragon_stats_desc;Dragon's combat rating: [Root.comratvar.GetValue]\nDragon's vitality: [Root.healthvar.GetValue]\nDragon'S size: [Root.sizeforlocvar.GetValue]\nDragon's strength: [Root.drastrvar.GetValue];;;;;;;;;;;x
dragon_culture_group;Dragon;;;;;;;;;;;x
dragon_culture;Dragon;;;;;;;;;;;x
dragon_egg_culture;Dragon egg;;;;;;;;;;;x
dragon_religion_group;No Religion;;;;;;;;;;;x
dragon_religion;No Religion;;;;;;;;;;;x
dragon_religion_desc;Placeholder;;;;;;;;;;;x
dragon_trait;Dragon;;;;;;;;;;x
dragon_trait_desc;This is a dragon. Dragons are monstrous fire-breathing scaly creatures. They are the symbol of power of the Freehold.;;;;;;;;;;x
dragon_base_trait;Placeholder;;;;;;;;;;x
dragon_base_trait_desc;Placeholder;;;;;;;;;;x
dragon_rider;Dragon Rider;;;;;;;;;;x
dragon_rider_desc;Placeholder;;;;;;;;;;x
dragon_wounded;Wounded;;;;;;;;;;x
dragon_wounded_desc;Placeholder;;;;;;;;;;x
dragon_maimed;Maimed;;;;;;;;;;x
dragon_maimed_desc;Placeholder;;;;;;;;;;x
dragon_strong;Strong;;;;;;;;;;x
dragon_strong_desc;Placeholder;;;;;;;;;;x
dragon_weak;Weak;;;;;;;;;;x
dragon_weak_desc;Placeholder;;;;;;;;;;x
dragon_slothful;Slothful;;;;;;;;;;x
dragon_slothful_desc;Placeholder;;;;;;;;;;x
dragon_wroth;Wroth;;;;;;;;;;x
dragon_wroth_desc;Placeholder;;;;;;;;;;x
dragon_patient;Patient;;;;;;;;;;x
dragon_patient_desc;Placeholder;;;;;;;;;;x
dragon_humble;Humble;;;;;;;;;;x
dragon_humble_desc;Placeholder;;;;;;;;;;x
dragon_proud;Proud;;;;;;;;;;x
dragon_proud_desc;Placeholder;;;;;;;;;;x
dragon_friendly;Friendly;;;;;;;;;;x
dragon_friendly_desc;Placeholder;;;;;;;;;;x
dragon1;Placeholder;;;;;;;;;;x
dragon1_desc;Placeholder;;;;;;;;;;x
dragon2;Placeholder;;;;;;;;;;x
dragon2_desc;Placeholder;;;;;;;;;;x
dragon3;Placeholder;;;;;;;;;;x
dragon3_desc;Placeholder;;;;;;;;;;x
dragon4;Placeholder;;;;;;;;;;x
dragon4_desc;Placeholder;;;;;;;;;;x
dragon5;Placeholder;;;;;;;;;;x
dragon5_desc;Placeholder;;;;;;;;;;x
dragon6;Placeholder;;;;;;;;;;x
dragon6_desc;Placeholder;;;;;;;;;;x
dragon7;Placeholder;;;;;;;;;;x
dragon7_desc;Placeholder;;;;;;;;;;x
dragon8;Placeholder;;;;;;;;;;x
dragon8_desc;Placeholder;;;;;;;;;;x
dragon9;Placeholder;;;;;;;;;;x
dragon9_desc;Placeholder;;;;;;;;;;x
dragon10;Placeholder;;;;;;;;;;x
dragon10_desc;Placeholder;;;;;;;;;;x
dragon11;Placeholder;;;;;;;;;;x
dragon11_desc;Placeholder;;;;;;;;;;x
dragon12;Placeholder;;;;;;;;;;x
dragon12_desc;Placeholder;;;;;;;;;;x
dragon13;Placeholder;;;;;;;;;;x
dragon13_desc;Placeholder;;;;;;;;;;x
dragon14;Placeholder;;;;;;;;;;x
dragon14_desc;Placeholder;;;;;;;;;;x
dragon15;Placeholder;;;;;;;;;;x
dragon15_desc;Placeholder;;;;;;;;;;x
dragon16;Placeholder;;;;;;;;;;x
dragon16_desc;Placeholder;;;;;;;;;;x
dragonegg;Dragon Egg;;;;;;;;;;x
dragonegg_desc;Placeholder;;;;;;;;;;x
