Name,ENGLISH,FRENCH,GERMAN,Column1,SPANISH,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,x
TSK_MARKET.1,,,,,,,,,,,,,,x
TSK_MARKET.2,,,,,,,,,,,,,,x
TSK_MARKET.3,,,,,,,,,,,,,,x
TSK_MARKET.10,,,,,,,,,,,,,,x
TSK_MARKET.100,,,,,,,,,,,,,,x
TSK_MARKET.1000,,,,,,,,,,,,,,x
TSK_MARKET.10000,,,,,,,,,,,,,,x
TSK_MARKET.10001,,,,,,,,,,,,,,x
TSK_MARKET.10002,,,,,,,,,,,,,,x
TSK_MARKET.1100,,,,,,,,,,,,,,x
TSK_MARKET.11000,,,,,,,,,,,,,,x
TSK_MARKET.11100,,,,,,,,,,,,,,x
TSK_MARKET.11100,,,,,,,,,,,,,,x
TSK_MARKET.1200,,,,,,,,,,,,,,x
TSK_MARKET.12000,,,,,,,,,,,,,,x
TSK_MARKET.20,,,,,,,,,,,,,,x
TSK_MARKET.30,,,,,,,,,,,,,,x
TSK_MARKET.40,,,,,,,,,,,,,,x
TSK_MARKET.50,,,,,,,,,,,,,,x
TSK_MARKET.60,,,,,,,,,,,,,,x
TSK_MARKET.4,,,,,,,,,,,,,,x
