#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###########################################
# Name Override
china_open;Open Borders;;;;;;;;;;;;;x
china_isolationist;Closed Borders;;;;;;;;;;;;;x
china_expansionist;Expansionist;;;;;;;;;;;;;x

china_stable;Stable;;;;;;;;;;;;;x
china_unrest;Civil Unrest;;;;;;;;;;;;;x
china_civil_war;Civil War;;;;;;;;;;;;;x
china_mongol_invasion;Dothraki Invasion;;;;;;;;;;;;;x
china_jurchen_invasion;Ghiscari Invasion;;;;;;;;;;;;;x
china_famine;Great Famine;;;;;;;;;;;;;x
china_plague;Great Plague;;;;;;;;;;;;;x
china_golden_age;Golden Age;;;;;;;;;;;;;x

#Player/Pretender Empire Dynasties

e_china_tang;Maegyr;;;;;;;;;x
e_china_jin;Paenymion;;;;;;;;;x
e_china_wei;Vhagarios;;;;;;;;;x
e_china_qi;Targaros;;;;;;;;;x
e_china_zhou;Nogarys;;;;;;;;;x
e_china_han;Taelaellis;;;;;;;;;x
e_china_qin;Maentheos;;;;;;;;;x
e_china_yan;Aginarys;;;;;;;;;x
e_china_zhao;Veliar;;;;;;;;;x
e_china_liao;Agtheos;;;;;;;;;x
e_china_yuan;Whitefyre;;;;;;;;;x
e_china_xia;Blackfyre;;;;;;;;;x
e_china_qing;Gaeltalor;;;;;;;;;x
e_china_dai;Velaryos;;;;;;;;;x
e_china_cheng;Taennalys;;;;;;;;;x
e_china_liang;Malnaeros;;;;;;;;;x
e_china_song;Aegos;;;;;;;;;x
e_china_ming;Velnalys;;;;;;;;;x
e_china_shu;Baelnaris;;;;;;;;;x
e_china_wu;Rhalaeron;;;;;;;;;x
e_china_chu;Laeraleos;;;;;;;;;x
e_china_yue;Daeneryos;;;;;;;;;x
e_china_yin;Jhaekaros;;;;;;;;;x
e_china_shun;Sellaryos;;;;;;;;;x

#Chinese Empire Dynasties

tang_china;Maegyr;;;;;;;;;x
jin_china;Paenymion;;;;;;;;;x
wei_china;Vhagarios;;;;;;;;;x
qi_china;Targaros;;;;;;;;;x
zhou_china;Nogarys;;;;;;;;;x
han_china;Taelaellis;;;;;;;;;x
qin_china;Maentheos;;;;;;;;;x
yan_china;Aginarys;;;;;;;;;x
zhao_china;Veliar;;;;;;;;;x
liao_china;Agtheos;;;;;;;;;x
yuan_china;Whitefyre;;;;;;;;;x
xia_china;Blackfyre;;;;;;;;;x
qing_china;Gaeltalor;;;;;;;;;x
dai_china;Velaryos;;;;;;;;;x
cheng_china;Taennalys;;;;;;;;;x
liang_china;Malnaeros;;;;;;;;;x
song_china;Sung;Aegos;;;;;;;;;x
ming_china;Ming;Velnalys;;;;;;;;;x
shu_china;Tsuk;Baelnaris;;;;;;;;;x
wu_china;Rhalaeron;;;;;;;;;x
chu_china;Laeraleos;;;;;;;;;x
yue_china;Daeneryos;;;;;;;;;x
yin_china;Jhaekaros;;;;;;;;;x
shun_china;Sellaryos;;;;;;;;;x
mongol_china;Jhago;;;;;;;;;x

china;The Valyrian Freehold;;;;;;;;;x
e_china;The Valyrian Freehold;;;;;;;;;x
e_china_west_governor;The Western Valyrian Territories;;;;;;;;;x 

