#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_maidens_men;Maiden's Men;;;;;;;;;x
d_ragged_standard;The Ragged Standard;;;;;;;;;x
d_second_sons;The Second Sons;;;;;;;;;x
d_stormcrows;The Stormcrows;;;;;;;;;x
d_riverlanders;Men of the Rivers;;;;;;;;;x
d_second_riverlanders;Second Men of the Rivers;;;;;;;;;x
d_northmen;Men of the North;;;;;;;;;x
d_second_northmen;Second Men of the North;;;;;;;;;x
d_bronzemen;Men of Bronze;;;;;;;;;x
d_valemen;Men of the Vale;;;;;;;;;x
d_westerlanders;Men of the West;;;;;;;;;x
d_goldman;Men of Gold;;;;;;;;;x
d_crownlanders;Men of the Blackwater;;;;;;;;;x
d_wynelanders;Men of Oldtown;;;;;;;;;x
d_long_lances;The Long Lances;;;;;;;;;x
d_iron_shields;Iron Shields;;;;;;;;;x
d_gallant_men;Gallant Men;;;;;;;;;x
d_reachmen;Men of the Reach;;;;;;;;;x
d_bright_banners;Bright Banners;;;;;;;;;x
