#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,
LOADING_TIP_1;  ;;;;;;;;;x
LOADING_TIP_2;  ;;;;;;;;;x
LOADING_TIP_4;  ;;;;;;;;;x
LOADING_TIP_5;  ;;;;;;;;;x
LOADING_TIP_6;  ;;;;;;;;;x
LOADING_TIP_7;  ;;;;;;;;;x
LOADING_TIP_8;  ;;;;;;;;;x
LOADING_TIP_9;  ;;;;;;;;;x
LOADING_TIP_10; ;;;;;;;;;x
LOADING_TIP_11; ;;;;;;;;;x
LOADING_TIP_13; ;;;;;;;;;x
LOADING_TIP_14; ;;;;;;;;;x
LOADING_TIP_16; ;;;;;;;;;x
LOADING_TIP_17; ;;;;;;;;;x
LOADING_TIP_18  ;;;;;;;;:x
LOADING_TIP_19  ;;;;;;;;:x
LOADING_TIP_20; ;;;;;;;;;x
LOADING_TIP_21; ;;;;;;;;;x
LOADING_TIP_22; ;;;;;;;;;x
LOADING_TIP_23; ;;;;;;;;;x
LOADING_TIP_24; ;;;;;;;;;x
LOADING_TIP_25; ;;;;;;;;;x
LOADING_TIP_0;  ;;;;;;;;;x
LOADING_TIP_26; ;;;;;;;;;x
LOADING_TIP_27; ;;;;;;;;;x
LOADING_TIP_28; ;;;;;;;;;x
LOADING_TIP_29; ;;;;;;;;;x
LOADING_TIP_30; ;;;;;;;;;x
LOADING_TIP_31; ;;;;;;;;;x
LOADING_TIP_32; ;;;;;;;;;x
LOADING_TIP_33; ;;;;;;;;;x
LOADING_TIP_34; ;;;;;;;;;x
LOADING_TIP_35; ;;;;;;;;;x
LOADING_TIP_36; ;;;;;;;;;x
LOADING_TIP_37; ;;;;;;;;;x
LOADING_TIP_38; ;;;;;;;;;x
LOADING_TIP_39; ;;;;;;;;;x
LOADING_TIP_40; ;;;;;;;;;x
LOADING_TIP_41; ;;;;;;;;;x
LOADING_TIP_42; ;;;;;;;;;x
LOADING_TIP_43; ;;;;;;;;;x
LOADING_TIP_44; ;;;;;;;;;x
LOADING_TIP_45; ;;;;;;;;;x
LOADING_TIP_46; ;;;;;;;;;x
LOADING_TIP_3;  ;;;;;;;;;x
LOADING_TIP_15; ;;;;;;;;;x
LOADING_TIP_19; ;;;;;;;;;x
LOADING_TIP_47; ;;;;;;;;;x
LOADING_TIP_48; ;;;;;;;;;x
LOADING_TIP_49; ;;;;;;;;;x
LOADING_TIP_50; ;;;;;;;;;x
LOADING_TIP_51; ;;;;;;;;;x
LOADING_TIP_52; ;;;;;;;;;x
LOADING_TIP_53; ;;;;;;;;;x
LOADING_TIP_54; ;;;;;;;;;x
LOADING_TIP_55; ;;;;;;;;;x
LOADING_TIP_56; ;;;;;;;;;x
LOADING_TIP_57; ;;;;;;;;;x
LOADING_TIP_58; ;;;;;;;;;x
LOADING_TIP_59; ;;;;;;;;;x
LOADING_TIP_60; ;;;;;;;;;x
LOADING_TIP_61; ;;;;;;;;;x
LOADING_TIP_62; ;;;;;;;;;x
LOADING_TIP_63; ;;;;;;;;;x
LOADING_TIP_64; ;;;;;;;;;x
LOADING_TIP_65; ;;;;;;;;;x
LOADING_TIP_66; ;;;;;;;;;x
LOADING_TIP_67; ;;;;;;;;;x
LOADING_TIP_68; ;;;;;;;;;x
LOADING_TIP_69; ;;;;;;;;x
LOADING_TIP_70; ;;;;;;;;;x
LOADING_TIP_71; ;;;;;;;;;x
LOADING_TIP_72; ;;;;;;;;;x
LOADING_TIP_73; ;;;;;;;;;x
LOADING_TIP_74; ;;;;;;;;;x
LOADING_TIP_75; ;;;;;;;;;x
LOADING_TIP_76; ;;;;;;;;;x
LOADING_TIP_77; ;;;;;;;;;x
