#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
dead_crown_west_african_fylkir;;;;;;;;;;;;;;x
dead_crown_west_african_fylkir_desc;;;;;;;;;;;;;;x
dead_crown_aztec_fylkir;;;;;;;;;;;;;;x
dead_crown_aztec_fylkir_desc;;;;;;;;;;;;;;x
dead_crown_slavic_fylkir;;;;;;;;;;;;;;x
dead_crown_slavic_fylkir_desc;;;;;;;;;;;;;;x
dead_crown_romuva_fylkir;;;;;;;;;;;;;;x
dead_crown_romuva_fylkir_desc;;;;;;;;;;;;;;x
dead_crown_bon_fylkir;;;;;;;;;;;;;;x
dead_crown_bon_fylkir_desc;;;;;;;;;;;;;;x
dead_crown_zun_fylkir;;;;;;;;;;;;;;x
dead_crown_zun_fylkir_desc;;;;;;;;;;;;;;x
dead_scepter_bon_fylkir;;;;;;;;;;;;;;x
dead_scepter_bon_fylkir_desc;;;;;;;;;;;;;;x
dead_scepter_hellenic_fylkir;;;;;;;;;;;;;;x
dead_scepter_helleni_fylkir_desc;;;;;;;;;;;;;;x
