ca_marchercastle;Marcher Castle;;;;;;;;;;;;;x
ca_marchercastle_desc;The castles of the Dornish Marches are among the strongest of the realm, and for good reason, for seldom has a generation passed when they have not faced some new attack. They were established to create a bulwark against incursions from the Dornish and the Kings of the Reach. The Marcher lords are duly proud of their history as key defenders of the realm of the Storm Kings, and many are ballads and tales of their valor.\n\nThe longbows of the Marches are especially famed, and many of the most famous bowmen of song and history are said to hail from the Dornish Marches.;;;;;;;;;;;;;x
ca_dreadfort;The Dreadfort;;;;;;;;;;;;;x
ca_dreadfort_desc;The Dreadfort is a strong fortress that has served as the seat of House Bolton for centuries, if not longer. \n\nIt has a dark reputation and is said to contain secret torture rooms and hidden galleries that display the flayed skins of the Bolton's enemies.;;;;;;;;;;;;;x
ca_greatbarrow;The Great Barrow;;;;;;;;;;;;;x
ca_greatbarrow_desc;The Great Barrow is the hill upon which is built the castle of House Dustin is built. It is said to be the resting place of the First King of the First Men. It is a sacred place to all the followers of the Old Gods.;;;;;;;;;;;;;x
ca_smallbarrow;The Barrowlands;;;;;;;;;;;;;x
ca_smallbarrow_desc;The barrowlands is a region of wide, hilly plains covered with barrows, the ancient graves of the First Men.;;;;;;;;;;;;;x
ca_wolfswood;The Wolfswood;;;;;;;;;;;;;x
ca_wolfswood_desc;The wood harvested in the deep forests of the North is valued by merchants on both sides of the Narrow Sea for its sturdiness, a trait that makes it ideal for the process of building warships.;;;;;;;;;;;;;x
ca_riverrun;Riverrun;;;;;;;;;;;;;x
ca_riverrun_desc;Riverrun is a strong three-sided castle. The castle is bordered on the north by the Tumblestone and on the south by the Red Fork, while on the west a third side faces a massive man-made ditch. In time of danger the sluice gates can be opened to fill a wide moat and leave the castle surrounded on all three sides by water, turning Riverrun into an island and leaving it practically unassailable. It commands a view of many leagues. \n\nRiverrun was built after House Mudd fell. The land on which Riverrun sits was given to Edmure Tully by Armistead Vance, to reward Edmure for his oath of allegiance to him. Edmure Tully's son, Axel Tully, then built Riverrun on that land.;;;;;;;;;;;;;x
ca_castamere;Castamere;;;;;;;;;;;;;x
ca_castamere_desc;To the naked eye Castamere seemed a modest holding, fit for only a small Lord or a Landed Knight, the truth however was that nine tenths of the castle was beneath ground.;;;;;;;;;;;;;x
ca_ironwood;Ironwood Forest;;;;;;;;;;;;;x
ca_ironwood_desc;Ironwood is a type of tree found in the North, it is a hard and black wood that is extremely durable and provides a strong material for building construction. Ironrath control the largest ironwood forest and use it as a source of income to sell and also as a building material to create their strong keep.;;;;;;;;;;;;;x
ca_rainwood;Rainwood Forest;;;;;;;;;;;;;x
ca_rainwood_desc;The Rainwood is a large forest that lies on Cape Wrath in the Stormlands. Although it is rainy, the region is fertile enough;;;;;;;;;;;;;x
ca_kingswood;The Kingswood;;;;;;;;;;;;;x
ca_kingswood_desc;The kingswood is a large forest that lies across the Blackwater Rush from King's Landing. It is in the southern crownlands and the northern stormlands and is traversed by the kingsroad. Originating from a narrow lake in the forest, the Wendwater is the largest river in the kingswood. The kingswood contains a private hunting area for the King on the Iron Throne. However, some smallfolk live in the forest. Although it is rainy, the region is fertile enough.;;;;;;;;;;;;;x
ca_hammerhorn_mine;Hammerhorn Mines;;;;;;;;;;;;;x
ca_hammerhorn_mine_desc;The wealth of Hammerhorn comes not from the Sunset Sea, but from a number of iron mines situated in the Hardstone Hills.;;;;;;;;;;;;;x
ca_skyreach;Skyreach;;;;;;;;;;;;;x
ca_skyreach_desc;The tall castle of Skyreach sits upon one side of the Wide Way. Most of the castle is carved into the stone in which it sits upon. One can see both the fertile lands of the Reach and the desolate lands of Dorne from its peak. Some consider it impossible to assault because of the narrow causeway that leads up to its tall gatehouse, and the giant towers that guard its approach.;;;;;;;;;;;;;x
ca_casterly_rock;Casterly Rock;Castral Roc;;;;;;;;;;;;x
ca_casterly_rock_desc;Casterly Rock, the fortress is carved out of a great stone hill and its natural defenses are further enhanced with walls and other structures. It is tunneled through with halls and chambers, with a huge keep at its peak. It is the second-largest castle in the realm with some of the strongest defenses in the world.;;;;;;;;;;;;;x
ca_moat_cailin;Moat Cailin;;;;;;;;;;;;;x
ca_moat_cailin_desc;Moat Cailin is a stronghold of the First Men on the northern edge of the great swamp known as the Neck, in the North. It is one of the North's most important strongholds, though much of it now stands in need of repair. Its importance stems from the fact that it commands the causeway, which is the safe route for armies to travel through the swamps of the Neck.\n\nMoat Cailin is an effective natural choke point which has protected the North from southern invasion for many years. The remaining three towers of the castle command the causeway from all sides and enemies must pass between them. Attackers would have to face constant fire from the other towers should they attempt to attack any one tower, wading through chest deep water and crossing a moat.;;;;;;;;;;;;;x
ca_wallportion;The Wall;;;;;;;;;;;;;x
ca_wallportion_desc;The Wall is a massive barrier of mostly ice stretching across the northern border of the Seven Kingdoms, separating it from the wild lands beyond. The Wall is three hundred miles long and reaches over seven hundred feet at his highest point, although some foundation blocks in hilly regions such as near Greyguard.;;;;;;;;;;;;;x
ca_ironwood;Ironwood Forest;;;;;;;;;;;;;x
ca_ironwood_desc;Ironwood is a type of tree found in the North, it is a hard and black wood that is extremely durable and provides a strong material for building construction. House Forrester of Ironrath control the largest ironwood forest and use it as a source of income to sell and also as a building material to create their strong keep.;;;;;;;;;;;;;x
ca_starfall;Starfall;;;;;;;;;;;;;x
ca_starfall_desc;Starfall is the ancestral seat of House Dayne. It is located in the western Red Mountains on an island in the Torentine where it pours into the Summer Sea. The castle, which includes a tower called the Palestone Sword, guards the western arm of Dorne.;;;;;;;;;;;;;x
ca_ironshipyard;Ironborn Shipyard;;;;;;;;;;;;;x
ca_ironshipyard_desc;The Ironborn people's swift shallow wooden longships allow them to mount raids on the coasts of Westeros and further inland via river and streams.;;;;;;;;;;;;;x
ca_redwyneshipyard;Arbor Shipyard;;;;;;;;;;;;;x
ca_redwyneshipyard_desc;The Arbor is well known for producing large fleets, for trading in peaceful times and for becoming one of the largest navies of the Seven Kingdoms at war.;;;;;;;;;;;;;x
ct_redwyneshipyard;Arbor Shipyard;;;;;;;;;;;;;x
ct_redwyneshipyard_desc;The Arbor is well known for producing large fleets, for trading in peaceful times and for becoming one of the largest navies of the Seven Kingdoms at war.;;;;;;;;;;;;;x
ca_lannshipyard;Lannisport Shipyard;;;;;;;;;;;;;x
ca_lannshipyard_desc;Lannisport is a major bustling port, and a port of its size must have a large navy for trading as well as for war.;;;;;;;;;;;;;x
ca_oldtownshipyard;Oldtown Shipyard;;;;;;;;;;;;;x
ca_oldtownshipyard_desc;Sitting beneath the Hightower is a bustling port full of many ships, used for trading and for times of war.;;;;;;;;;;;;;x
ct_oldtownshipyard;Oldtown Shipyard;;;;;;;;;;;;;x
ct_oldtownshipyard;Sitting beneath the Hightower is a bustling port full of many ships, used for trading and for times of war.;;;;;;;;;;;;;x
ca_shieldshipyard;Shield Isles Shipyard;;;;;;;;;;;;;x
ca_shieldshipyard_desc;The Shield Isles have a legacy of shipmaking to combat the many Ironborn raids on their islands.;;;;;;;;;;;;;x
ct_freecitiesshipyard;Free Cities Shipyard;;;;;;;;;;;;;x
ct_freecitiesshipyard_desc;The Free Cities have a legacy of trading and war, so they must build a large amount of ships for these purposes.;;;;;;;;;;;;;x
ca_driftmarkshipyard;Driftmark Shipyard;;;;;;;;;;;;;x
ca_driftmarkshipyard_desc;Driftmark is a small island near Dragonstone, but which controls the middle Narrow Sea for its benefit.;;;;;;;;;;;;;x
ct_driftmarkshipyard;Driftmark Shipyard;;;;;;;;;;;;;x
ct_driftmarkshipyard_desc;Driftmark is a small island near Dragonstone, but which controls the middle Narrow Sea for its benefit.;;;;;;;;;;;;;x
ct_smallshipyard;Small Shipyard;;;;;;;;;;;;;x
ct_smallshipyard_desc;A small shipyard, where some ships can be made but which gets crowded quite easily.;;;;;;;;;;;;;x
ca_wildling_barracks;Small Wildling Barracks;;;;;;;;;;;;;x
ca_wildling_barracks_desc;A small building to hold wildling troops.;;;;;;;;;;;;;x
ca_wildling_barracks2;Wildling Barracks;;;;;;;;;;;;;x
ca_wildling_barracks2_desc;A building to hold wildling troops.;;;;;;;;;;;;;x
ca_wildling_barracks3;Large Wildling Barracks;;;;;;;;;;;;;x
ca_wildling_barracks3_desc;A large building to hold wildling troops.;;;;;;;;;;;;;x
ca_wildling_barracks4;Fortified Wildling Barracks;;;;;;;;;;;;;x
ca_wildling_barracks4_desc;A large fortified building to hold wildling troops.;;;;;;;;;;;;;x
tb_wildling_barracks;Small Wildling Barracks;;;;;;;;;;;;;x
tb_wildling_barracks_desc;A small building to hold wildling troops.;;;;;;;;;;;;;x
tb_wildling_barracks2;Wildling Barracks;;;;;;;;;;;;;x
