#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_maidens_men;Maiden's Men;;;;;;;;;;;;;x
d_maidens_men_adj;Maiden's;;;;;;;;;;;;;x
d_ragged_standard;Ragged Standard;;;;;;;;;;;;;x
d_ragged_standard_adj;Ragged Standard;;;;;;;;;;;;;x
d_second_sons;Second Sons;;;;;;;;;;;;;x
d_second_sons_adj;Second Sons;;;;;;;;;;;;;x
d_stormcrows;Stormcrows;;;;;;;;;;;;;x
d_stormcrows_adj;Stormcrows;;;;;;;;;;;;;x
d_long_lances;Long Lances;;;;;;;;;;;;;x
d_long_lances_adj;Long Lances;;;;;;;;;;;;;x
d_iron_shields;Iron Shields;;;;;;;;;;;;;x
d_iron_shields_adj;Iron Shields;;;;;;;;;;;;;x
d_gallant_men;Gallant Men;;;;;;;;;;;;;x
d_gallant_men_adj;Gallant Men;;;;;;;;;;;;;x
d_bright_banners;Bright Banners;;;;;;;;;;;;;x
d_bright_banners_adj;Bright Banners;;;;;;;;;;;;;x
d_company_of_the_cat;Company of the Cat;;;;;;;;;;;;;x
d_company_of_the_cat_adj;Company of the Cat;;;;;;;;;;;;;x
d_poor_fellows;Poor Fellows;;;;;;;;;;;;;x
d_poor_fellows_adj;Poor Fellows;;;;;;;;;;;;;x
d_warriors_sons;Order of the Warrior's Sons;;;;;;;;;;;;;x
d_warriors_sons_adj;Warrior's Sons;;;;;;;;;;;;;x
d_wildling;Men of the Great Lakes;;;;;;;;;;;;;x
d_wildling_adj;Wildling;;;;;;;;;;;;;x
SPARROW;Sparrow;;;;;;;;;;;;;x
d_moonsingers;Singers of the Moon;;;;;;;;;;;;;x
d_moonsingers_adj;Singers of the Moon;;;;;;;;;;;;;x
d_boashi_reformed;Boashi Holy Warriors;;;;;;;;;;;;;x
d_boashi_reformed_adj;Boashi Holy Warriors;;;;;;;;;;;;;x
d_bearded_priests_reformed;The Priests of the Blade;;;;;;;;;;;;;x
d_bearded_priests_reformed_adj;Bearded Priests;;;;;;;;;;;;;x
d_maiden_of_the_harvest;Maidens of the Harvest;;;;;;;;;;;;;x
d_maiden_of_the_harvest_adj;Maidens of the Harvest;;;;;;;;;;;;;x
d_rhllor_merc;The Lord's Men;;;;;;;;;;;;;x
d_rhllor_adj;The Lord's Men;;;;;;;;;;;;;x
d_rel_trios;The Triosi;;;;;;;;;;;;;x
d_rel_trios_adj;Triosi;;;;;;;;;;;;;x
d_weeping_lady;The Weeping Men;;;;;;;;;;;;;x
d_weeping_lady_adj;Weeping Men;;;;;;;;;;;;;x
d_valyrian;The Dragon Company;;;;;;;;;;;;;x
d_valyrian_adj;The Dragon Company;;;;;;;;;;;;;x
d_harishic;Men of the Frozen Marshes;;;;;;;;;;;;;x
d_harishic_adj;Harishic;;;;;;;;;;;;;x
d_thenn;Men of the Northern Edge;;;;;;;;;;;;;x
d_thenn_adj;Thenn;;;;;;;;;;;;;x
d_saliosi;Men of the Frigid Highlands;;;;;;;;;;;;;x
d_saliosi_adj;Salisoi;;;;;;;;;;;;;x
d_lady_of_the_rocks;Men of the Rocks;;;;;;;;;;;;;x
d_lady_of_the_rocks_adj;Men of the Rocks;;;;;;;;;;;;;x
d_black_flag;Men of the Black Flag;;;;;;;;;;;;;x
d_black_flag_adj;Black Flag;;;;;;;;;;;;;x
d_hartenn;Men of the Barren Plains;;;;;;;;;;;;;x
d_hartenn_adj;Hartenn;;;;;;;;;;;;;x
d_old_gods;Men of the Old Gods;;;;;;;;;;;;;x
d_old_gods_adj;Old Gods;;;;;;;;;;;;;x
d_frozen_shore_merc;Men of the Frozen Shore;;;;;;;;;;;;;x
d_frozen_shore_merc_adj;Frozen Shoremen;;;;;;;;;;;;;x
d_cavemen;Men of the Northern Shore;;;;;;;;;;;;;x
d_cavemen_adj;Cavemen;;;;;;;;;;;;;x
d_dumhic;Men of Hardhome;;;;;;;;;;;;;x
d_dumhic_adj;Hardhome;;;;;;;;;;;;;x
d_hornfoots;Men of the Southern Peaks;;;;;;;;;;;;;x
d_hornfoots_adj;Hornfoot;;;;;;;;;;;;;x
d_ice_rivermen;Men of the Frozen Bay;;;;;;;;;;;;;x
d_ice_rivermen_adj;Ice Rivermen;;;;;;;;;;;;;x
d_gildlic;Men of Winter Keep;;;;;;;;;;;;;x
d_gildlic_adj;Gildlic;;;;;;;;;;;;;x
d_nightrunners;Men of the Gap;;;;;;;;;;;;;x
d_nightrunners_adj;Nightrunner;;;;;;;;;;;;;x
d_skagosi;Men of Skagos;;;;;;;;;;;;;x
d_skagosi_adj;Skagosi;;;;;;;;;;;;;x
d_myrish_crossbowmen;Myrish Crossbowmen;;;;;;;;;;;;;x
d_myrish_crossbowmen_adj;Myrish Crossbowmen;;;;;;;;;;;;;x
d_tyroshi_lancers;Tyroshi Lancers;;;;;;;;;;;;;x
d_tyroshi_lancers_adj;Tyroshi Lancers;;;;;;;;;;;;;x
d_lysene_swordsmen;Lysene Swordmasters;;;;;;;;;;;;;x
d_lysene_swordsmen_adj;Lysene Swordmasters;;;;;;;;;;;;;x
