#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_1;Beware the 'Hammer of Justice'
LOADING_TIP_2;Do not try to invade the Valyrian Freehold…
LOADING_TIP_4;Do not trust your Marshals…
LOADING_TIP_5;Do not play as Vierwood!
LOADING_TIP_6;Beware Dorne…
LOADING_TIP_7;Do not provoke the Bronze King…
LOADING_TIP_8;Rowan of Rowan's Hearth…
"LOADING_TIP_9;Braavos is the weakest republic in the game, but has the potential to bceome the strongest."
LOADING_TIP_10;Shadow King Triston Darklyn 
LOADING_TIP_11;Storm King Maldon 'Greatstag' Durrandon
LOADING_TIP_13;King Tyrion 'Greatlion' Lannister
LOADING_TIP_14;The Arbor/Oldtown feud will be bloody…
LOADING_TIP_16;Winter is Coming
LOADING_TIP_17;Do not allow the Ironborn to unite…
LOADING_TIP_18;Do not invade Dorne by land…
"LOADING_TIP_20;As Riverrun it is best to swear fealty to someone, or you may soon be destroyed."
