#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
valyrian_sword_breaker;Doom;;;;;;;;;x
valyrian_sword_breaker_desc;Forged in the heart of Valyria, this mace is made entirely of Valyrian Steel, the rarest metal in Essos and Westeros. Worth a King's ransom, rumors tell that Valyria contains bountiful amounts of these kinds of mighty weapons.;;;;;;;;;x
red_rain;Red Rain;;;;;;;;;x
vigilance;Vigilance;;;;;;;;;x
hammer_of_justice;Justice;;;;;;;;;x
dawn;Dawn;;;;;;;;;x
hammer_of_justice_desc;Personally forged by Tristifer in his youth. The colossal war hammer dwarfs all other weapons on the battlefield. Only a handful of men are strong enough to wield the hammer in battle. It is mainly used for ceremonial occasions such as executions and coronations.;;;;;;;;;x
lady_forlorn_desc;Lady Forlorn is the ancestral valyrian steel longsword of House Corbray. It has a heart-shaped ruby in its pommel.;;;;;;;;;x
vigilance_desc;Vigilance is a Valyrian steel longsword belonging to House Hightower.;;;;;;;;;x
dawn_desc;According to legend, Samwell 'Starsmith' the founder of House Dayne tracked a falling star to the mouth of the Torentine, and Starfall was then constructed where a magical stone was discovered. The greatsword Dawn was forged from the heart of this fallen star.;;;;;;;;;x
claim_dawn;Claim Dawn!;;;;;;;;;x
claim_dawn_desc;According to legend, Samwell 'Starsmith' the founder of House Dayne tracked a falling star to the mouth of the Torentine, and Starfall was then constructed where a magical stone was discovered. The greatsword Dawn was forged from the heart of this fallen star. Only the greatest warriors of House Dayne can wield this greatsword. Once a warrior claims this sword he becomes 'The Sword Of the Morning'.;;;;;;;;;x
TOOLTIP_claim_dawn;Three must be true: Brave, Kind, Patient, Quick, Just, Diligent, Honourable, Ambitious, Bleeding Heart, Huge, Tall, Strong.;;;;;;;;;x
jade_dragon;Valyrian Relic;;;;;;;;;x
jade_dragon_desc; A relic of the ancient Valyrian god Balerion.;;;;;;;;;x 
freehold_dragon_amulet;Valyrian Dragon Amulet;;;;;;;;;x
freehold_dragon_amulet_desc;An ornate amulet forged and crafted in the heart of Valyria.;;;;;;;;;x 
freehold_artwork;Valyrian Artwork;;;;;;;;;x
freehold_artwork_desc;A painting personally painted by the finest artists in the Freehold.;;;;;;;;;x
freehold_calligraphy;Valyrian Calligraphy;;;;;;;;;x
freehold_sculpture;Valyrian Sculpture;;;;;;;;;x
freehold_sculpture_desc;Sculpted by only the finest artists in the heart of the Freehold.;;;;;;;;;x
freehold_ceremonial_robes;Lavish Freeholder Robes;;;;;;;;;x 
freehold_ceremonial_robes_desc;A fine pair of robes worn by the Lord Freeholders of the Valyrian peninsula.;;;;;;;;;x 
silk_shroud;Valyrian Silk Shroud;;;;;;;;;x
water_clock;Valyrian Clock;;;;;;;;;x
jian_sword;Valyrian Steel Sword;;;;;;;;;x
jian_sword_desc;Forged with dragonfire in the heart of Valyria. This sword was once wielded by a Valyrian warlord hundreds of years ago.;;;;;;;;;x
freehold_prev_emperor_sculpturel;Sculpture of Vhagar Voltarys;;;;;;;;;x
freehold_prev_emperor_sculpturel_desc;A sculpture of the founder of the modern Valyrian Freehold. Handcrafted by only the finest artists in the heart of the Valyria.;;;;;;;;;x
freehold_arm_protector;Valyrian Bracelet;;;;;;;;;x
freehold_arm_protector_desc;An ancient Valyrian bracelet created hundreds of years ago.;;;;;;;;;x
freehold_serpent_spear;Valyrian Steel Spear;;;;;;;;;x
freehold_serpent_spear_desc;Forged with dragonflame at an unknown date. This spear is nearly indestructible and has claimed the lives of many great men.;;;;;;;;;x
freehold_ji;Valyrian Steel Lance;;;;;;;;;x
freehold_ji_desc;A lance made entirely of Valyrian Steel. Quite the prize.;;;;;;;;;x
freehold_crossbow;Valyrian Crossbow;;;;;;;;;x
freehold_crossbow_desc;Made by the finest craftsmen in Valyria this crossbow has felled many humans and beasts.;;;;;;;;;x
freehold_bronze_sculpture;Valyrian Bronze Sculpture;;;;;;;;;x
freehold_bronze_sculpture_desc;A sculpture of an ancient Valyrian Archon.;;;;;;;;;x
freehold_painting_of_glitterhoof;Painting of Shadowfax;;;;;;;;;x
freehold_tapestry;Valyrian Tapestry;;;;;;;;;x
freehold_tapestry_desc;An ancient tapestry worth a king's ransom.;;;;;;;;;x
freehold_tapestry_grand;Pomporius Maximus;;;;;;;;;x
freehold_tapestry_grand_desc;This tapestry depicts the conquests of Pomporius during the 1st Valyrian Civil War. A beauty to behold.;;;;;;;;;x
armor_1;Leather Armor;;;;;;;;;;;x
armor_1_desc;A set of thick leather armor..;;;;;;;;;;;x
armor_2;Leather & Ringmail Armor;;;;;;;;;;;x
armor_2_desc;A set of leather armor reinforced by the addition of ringmail.;;;;;;;;;;;x
armor_3;Chainmail;;;;;;;;;;;x
armor_3_desc;A set of chained mail.;;;;;;;;;;;x
armor_4;Heavy Chainmail;;;;;;;;;;;x
armor_4_desc;A set of very heavy chained mail.;;;;;;;;;;x
armor_5;Plate Armor;;;;;;;;;;;x
armor_5_desc;A set of impressive armor usually worn by knights.;;;;;;;;;;;x
axe_1;Light Axe;;;;;;;;;;;x
axe_1_desc;A small axe.;;;;;;;;;;;x
axe_2;Axe;;;;;;;;;;;x
axe_2_desc;A normal sized axe.;;;;;;;;;;;x
axe_3;Large Axe;;;;;;;;;;;x
axe_3_desc;A large axe.;;;;;;;;;;;x
axe_4;Great Axe;;;;;;;;;;;x
axe_4_desc;An impressive axe.;;;;;;;;;;x
axe_5;Legendary Axe;;;;;;;;;;;x
axe_5_desc;A axe of incredible size.;;;;;;;;;;;x
bow_1;Small Bow;;;;;;;;;;;;;x
bow_1_desc;A small sized longbow.;;;;;;;;;;;;;x
bow_2;Bow;;;;;;;;;;;;;x
bow_2_desc;A normal sized bow.;;;;;;;;;;;;;x
bow_3;Longbow;;;;;;;;;;;;;x
bow_3_desc;A normal sized longbow.;;;;;;;;;;;;;x
bow_4;Crossbow;;;;;;;;;;;;;x
bow_4_desc;A normal sized crossbow.;;;;;;;;;;;;;x
bow_5;Great Crossbow;;;;;;;;;;;;;x
bow_5_desc;A crossbow of massive size.;;;;;;;;;;;;;x
golden_armor;Cheap Golden Armor;;;;;;;;;;;x
golden_armor_desc;A set of cheap but flashy golden armor.;;;;;;;;;;;;x
holy_avenger_sword;Holy Avenger;;;;;;;;;;;;;x
holy_avenger_sword_desc;A sword for avenging lost people of your faith.;;;;;;;;;;;;;x
lance_1;Light Lance;;;;;;;;;;;x
lance_1_desc;A small lance.;;;;;;;;;;;x
lance_2;Lance;;;;;;;;;;;x
lance_2_desc;A normal sized lance.;;;;;;;;;;;x
lance_3;Large Lance;;;;;;;;;;;x
lance_3_desc;A large lance.;;;;;;;;;;;x
lance_4;Great Lance;;;;;;;;;;;x
lance_4_desc;An impressive lance.;;;;;;;;;;x
lance_5;Legendary Lance;;;;;;;;;;;x
lance_5_desc;A lance of incredible size.;;;;;;;;;;;x
mace_1;Light Mace;;;;;;;;;;;x
mace_1_desc;A small mace.;;;;;;;;;;;x
mace_2;Mace;;;;;;;;;;;x
mace_2_desc;A normal sized mace.;;;;;;;;;;;x
mace_3;Large Mace;;;;;;;;;;;x
mace_3_desc;A large mace.;;;;;;;;;;;x
mace_4;Great Mace;;;;;;;;;;;x
mace_4_desc;An impressive mace.;;;;;;;;;;x
mace_5;Legendary Mace;;;;;;;;;;;x
mace_5_desc;A mace of incredible size.;;;;;;;;;;;x
pike_1;Bardiche;;;;;;;;;;;x
pike_1_desc;A bardiche.;;;;;;;;;;;x
pike_2;Bill;;;;;;;;;;;x
pike_2_desc;A bill.;;;;;;;;;;;x
pike_3;Guisarme;;;;;;;;;;;x
pike_3_desc;A guisarme.;;;;;;;;;;;x
pike_4;Falchion;;;;;;;;;;;x
pike_4_desc;A falchion.;;;;;;;;;;x
pike_5;Halberd;;;;;;;;;;;x
pike_5_desc;A halberd.;;;;;;;;;;;x
sword_1;Short Sword;;;;;;;;;;;;;x
sword_1_desc;A sword slightly longer than a dagger.;;;;;;;;;;;;;x
sword_2;Long Sword;;;;;;;;;;;;;x
sword_2_desc;A standard sized medieval sword.;;;;;;;;;;;;;x
sword_3;Great Longsword;;;;;;;;;;;;;x
sword_3_desc;A large sword.;;;;;;;;;;;;;x
sword_4;Bastard Sword;;;;;;;;;;;;;x
sword_4_desc;A extremely large sword.;;;;;;;;;;;;;x
sword_5;Great Bastard Sword;;;;;;;;;;;;;x
sword_5_desc;A hulking sword.;;;;;;;;;;;;;x
