#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###########################################
march;March;;;;;;;;;x
MARCH_PERMANENT_NAME;March;;;;;;;;;x
MARCH_PERMANENT_PLURAL;Marches;;;;;;;;;x
MARCH_SUZERAIN_PERMANENT_NAME;High King;;;;;;;;;x
MARCH_DEFAULT_TRIBUTE;Lord Marshal;;;;;;;;;x
confederation;Confederation;;;;;;;;;x
CONFEDERATION_NAME;Andal Confederation;;;;;;;;;x
CONFEDERATION_PLURAL;Confederations;;;;;;;;;x
CONFEDERATION_SUZERAIN_NAME;Leader;;;;;;;;;x
CONFEDERATION_DEFAULT_TRIBUTE;Member;;;;;;;;;x
freehold_tributary;Valyrian Territory;;;;;;;;;x
FREEHOLD_TRIBUTARY_NAME;Valyrian Territory;;;;;;;;;x
FREEHOLD_TRIBUTARY_PLURAL;Valyrian Territories;;;;;;;;;x
FREEHOLD_TRIBUTARY_SUZERAIN_NAME;Viceroy;;;;;;;;;x
FREEHOLD_TRIBUTARY_DEFAULT_TRIBUTE;Valyrian Territory;;;;;;;;;x
