#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
dead_crown_west_african_fylkir;;;;;;;;;;;;;;x
dead_crown_west_african_fylkir_desc;;;;;;;;;;;;;;
dead_crown_aztec_fylkir;;;;;;;;;;;;;;
dead_crown_aztec_fylkir_desc;;;;;;;;;;;;;;
dead_crown_slavic_fylkir;;;;;;;;;;;;;;
dead_crown_slavic_fylkir_desc;;;;;;;;;;;;;;
dead_crown_romuva_fylkir;;;;;;;;;;;;;;
dead_crown_romuva_fylkir_desc;;;;;;;;;;;;;;
dead_crown_bon_fylkir;;;;;;;;;;;;;;
dead_crown_bon_fylkir_desc;;;;;;;;;;;;;;
dead_crown_zun_fylkir;;;;;;;;;;;;;;
dead_crown_zun_fylkir_desc;;;;;;;;;;;;;;
dead_scepter_bon_fylkir;;;;;;;;;;;;;;
dead_scepter_bon_fylkir_desc;;;;;;;;;;;;;;
dead_scepter_hellenic_fylkir;;;;;;;;;;;;;;
dead_scepter_helleni_fylkir_desc;;;;;;;;;;;;;;
