#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_TSK_COUNTY_CONQUEST;County Conquest;;;;;;;;;x
WAR_NAME_TSK_COUNTY_CONQUEST;County Conquest;;;;;;;;;x
CB_NAME_TSK_DUCHY_CONQUEST;Duchy Invasion;;;;;;;;;x
WAR_NAME_TSK_DUCHY_CONQUEST;Duchy Invasion;;;;;;;;;x
CB_NAME_TSK_DUCHY_SUBJUGATION;Duchy Subjugation;;;;;;;;;x
WAR_NAME_TSK_DUCHY_SUBJUGATION;Duchy Subjugation;;;;;;;;;x
CB_NAME_TSK_KINGDOM_CONQUEST;Kingdom Invasion;;;;;;;;;x
WAR_NAME_TSK_KINGDOM_CONQUEST;Kingdom Invasion;;;;;;;;;x
CB_NAME_TSK_KINGDOM_SUBJUGATION;Kingdom Subjugation;;;;;;;;;x
WAR_NAME_TSK_KINGDOM_SUBJUGATION;Kingdom Subjugation;;;;;;;;;x
tsk_county_conquest_desc; ;;;;;;;;;x
tsk_duchy_conquest_desc; ;;;;;;;;;x
tsk_duchy_subjugation_desc; ;;;;;;;;;x
tsk_kingdom_conquest_desc; ;;;;;;;;;x
tsk_kingdom_subjugation_desc; ;;;;;;;;;x
