
# Local Watch -> City Watch

# Primitive Local Watch		|	ct_core_level_2		|	Small <culture> Village
# Local Watch				|	ct_core_level_3		|	<culture> Village
# Primitive Town Watch		|	ct_core_level_4		|	Small <culture> Town
# Town Watch				|	ct_core_level_5		|	<culture> Town
# Established Town Watch	|	ct_core_level_6		|	Large <culture> Town
# Primitive City Watch		|	ct_core_level_7		|	Small <culture> City
# City Watch				|	ct_core_level_8		|	<culture> City
# Established City Watch	|	ct_core_level_9		|	Large <culture> City
# Huge City Watch			|	ct_core_level_10	|	Sprawling <culture> City

# City Barracks

# Small City Garrison
# Average City Garrison
# Sizeable City Garrison
# Huge City Garrison

city = {
	
	##############
	# City Watch # 
	##############
	##############
	ct_watch_1 = {
		desc = ct_watch_1_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_2 }
		
		ai_creation_factor = 78
		
		gold_cost = 70
		build_time = 120
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_2 = {
		desc = ct_watch_2_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_3 }
		
		ai_creation_factor = 77
		
		upgrades_from = ct_watch_1
		
		gold_cost = 87
		build_time = 147
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_3 = {
		desc = ct_watch_3_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_4 }
		
		ai_creation_factor = 76
		
		upgrades_from = ct_watch_2
		
		gold_cost = 105
		build_time = 176
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_4 = {
		desc = ct_watch_4_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_5 }
		
		ai_creation_factor = 75
		
		upgrades_from = ct_watch_3
		
		gold_cost = 125
		build_time = 208
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_5 = {
		desc = ct_watch_5_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_6 }
		
		ai_creation_factor = 74
		
		upgrades_from = ct_watch_4
		
		gold_cost = 147
		build_time = 243
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_6 = {
		desc = ct_watch_6_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
		prerequisites = { ct_core_level_7 }
		
		ai_creation_factor = 73
		
		upgrades_from = ct_watch_5
		
		gold_cost = 171
		build_time = 282
		
		heavy_infantry = 15
		archers = 20
		pikemen = 10
		
		fort_level = 0.15
		
		retinuesize = 50
	}
	ct_watch_7 = {
		desc = ct_watch_7_desc
		trigger = { TECH_FORTIFICATIONS_CONSTRUCTION = 0 }
		extra_tech_building_start = 0.0 # We want this building to always be assigned.
		
